file,line,selector,raw_value,computed_px_1440,computed_px_390,font_weight,font_family_token,role_guess,status
assets/css/chapters.css,59,body,18px,18.0,18.0,300,--bf,body,LIVE
assets/css/chapters.css,78,.chap,.64rem,10.24,10.24,500,--bf,body,LIVE
assets/css/chapters.css,80,.h2,"clamp(1.8rem,3.1vw,2.6rem)",41.6,28.8,600,--hf,section-title,LIVE
assets/css/chapters.css,81,.lead,1.06rem,16.96,16.96,300,(none),lead,LIVE
assets/css/chapters.css,85,.more,.8rem,12.8,12.8,400,--bf,body,ORPHAN
assets/css/chapters.css,88,.btn,.95rem,15.2,15.2,500,--bf,button,LIVE
assets/css/chapters.css,113,.ph span,.66rem,10.56,10.56,inherit,--bf,body,LIVE
assets/css/chapters.css,131,.nav__l a,.8rem,12.8,12.8,300,(none),nav,LIVE
assets/css/chapters.css,135,.nav__tg,.72rem,11.52,11.52,inherit,--bf,nav,LIVE
assets/css/chapters.css,138,.nav__en,.72rem,11.52,11.52,inherit,(none),nav,LIVE
assets/css/chapters.css,159,.hero__trust,.86rem,13.76,13.76,500,--bf,hero-title,LIVE
assets/css/chapters.css,160,.hero__h,"clamp(2.2rem,4.8vw,3.7rem)",59.2,35.2,500,--hf,hero-title,LIVE
assets/css/chapters.css,162,.hero__s,"clamp(1.02rem,1.4vw,1.18rem)",18.88,16.32,300,(none),hero-title,LIVE
assets/css/chapters.css,195,.tl__n:not(:last-child)::after,1rem,16.0,16.0,inherit,(none),body,ORPHAN
assets/css/chapters.css,196,.tl__y,1.7rem,27.2,27.2,500,--serif,body,LIVE
assets/css/chapters.css,197,.tl__l,.9rem,14.4,14.4,inherit,(none),label,LIVE
assets/css/chapters.css,206,.whom__p,.96rem,15.36,15.36,inherit,(none),body,LIVE
assets/css/chapters.css,216,.sc__t,1.12rem,17.92,17.92,500,--hf,title,ORPHAN
assets/css/chapters.css,217,.sc__p,.9rem,14.4,14.4,inherit,(none),body,ORPHAN
assets/css/chapters.css,225,.studio__h,2rem,32.0,32.0,500,--hf,body,LIVE
assets/css/chapters.css,226,.studio__p,1.04rem,16.64,16.64,300,(none),body,LIVE
assets/css/chapters.css,237,.tcard__q,1.08rem,17.28,17.28,400,--hf,testimonial,ORPHAN
assets/css/chapters.css,238,.tcard__n,.74rem,11.84,11.84,500,--bf,testimonial,ORPHAN
assets/css/chapters.css,249,.cmpc__t,1.6rem,25.6,25.6,500,--hf,title,LIVE
assets/css/chapters.css,250,.cmpc__p,1rem,16.0,16.0,300,(none),body,LIVE
assets/css/chapters.css,258,.bleed__q,"clamp(1.5rem,3vw,2.5rem)",40.0,24.0,400,--serif,body,LIVE
assets/css/chapters.css,259,.bleed__a,.74rem,11.84,11.84,inherit,--bf,body,LIVE
assets/css/chapters.css,274,.st3::after,1.5rem,24.0,24.0,inherit,--serif,body,ORPHAN
assets/css/chapters.css,277,.st3__t,1.18rem,18.88,18.88,500,--hf,title,LIVE
assets/css/chapters.css,278,.st3__p,.94rem,15.04,15.04,inherit,(none),body,LIVE
assets/css/chapters.css,284,".foot h4,.foot__col-title",.6rem,9.6,9.6,500,--bf,footer,LIVE
assets/css/chapters.css,285,.foot a,.85rem,13.6,13.6,inherit,(none),footer,LIVE
assets/css/chapters.css,289,.foot__brand b,1.4rem,22.4,22.4,inherit,--hf,footer,LIVE
assets/css/chapters.css,290,.foot__brand p,.82rem,13.12,13.12,inherit,(none),footer,LIVE
assets/css/chapters.css,297,.foot__disc,.72rem,11.52,11.52,inherit,(none),footer,LIVE
assets/css/chapters.css,298,.foot__base,.76rem,12.16,12.16,inherit,(none),footer,LIVE
assets/css/chapters.css,315,.phero__h,"clamp(2.2rem,4.6vw,3.6rem)",57.6,35.2,500,--hf,hero-title,LIVE
assets/css/chapters.css,317,.phero__s,"clamp(1.04rem,1.4vw,1.2rem)",19.2,16.64,300,(none),hero-title,LIVE
assets/css/chapters.css,322,.phero__lede,"clamp(.98rem,1.2vw,1.08rem)",17.28,15.68,300,(none),hero-title,LIVE
assets/css/chapters.css,327,.prose p,1.06rem,16.96,16.96,inherit,(none),body,ORPHAN
assets/css/chapters.css,334,.cap,.76rem,12.16,12.16,inherit,(none),caption,ORPHAN
assets/css/chapters.css,338,.cta-band__h,"clamp(1.8rem,3.2vw,2.6rem)",41.6,28.8,500,--hf,button,LIVE
assets/css/chapters.css,339,.cta-band__p,1.08rem,17.28,17.28,300,(none),button,LIVE
assets/css/chapters.css,343,.filter__c,.78rem,12.48,12.48,400,--bf,body,ORPHAN
assets/css/chapters.css,351,.feat__tag,.62rem,9.92,9.92,500,--bf,tag,ORPHAN
assets/css/chapters.css,352,.feat__t,"clamp(1.6rem,2.6vw,2.2rem)",35.2,25.6,600,--hf,title,ORPHAN
assets/css/chapters.css,353,.feat__ex,1.05rem,16.8,16.8,300,(none),body,ORPHAN
assets/css/chapters.css,354,.feat__meta,.76rem,12.16,12.16,inherit,(none),meta,ORPHAN
assets/css/chapters.css,363,.post__ph span,.66rem,10.56,10.56,inherit,--bf,body,ORPHAN
assets/css/chapters.css,364,.post__tag,.58rem,9.28,9.28,inherit,--bf,tag,ORPHAN
assets/css/chapters.css,365,.post__t,1.16rem,18.56,18.56,500,--hf,title,ORPHAN
assets/css/chapters.css,367,.post__meta,.74rem,11.84,11.84,inherit,(none),meta,ORPHAN
assets/css/chapters.css,376,.phero__trust,.78rem,12.48,12.48,300,(none),hero-title,ORPHAN
assets/css/chapters.css,381,.nav__tg,.72rem,11.52,11.52,inherit,--bf,nav,LIVE
assets/css/chapters.css,395,.shstep__dot span,2rem,32.0,32.0,500,--serif,body,ORPHAN
assets/css/chapters.css,400,.shstep__t,1.16rem,18.56,18.56,600,--hf,title,ORPHAN
assets/css/chapters.css,402,.shstep__p,.94rem,15.04,15.04,inherit,(none),body,ORPHAN
assets/css/chapters.css,408,.sc__more p,.86rem,13.76,13.76,inherit,(none),body,ORPHAN
assets/css/chapters.css,410,.sc__hint,.62rem,9.92,9.92,inherit,--bf,body,ORPHAN
assets/css/chapters.css,421,.dd__tag,.56rem,8.96,8.96,inherit,--bf,tag,LIVE
assets/css/chapters.css,423,.dd__t,1.2rem,19.2,19.2,600,--hf,title,LIVE
assets/css/chapters.css,429,.dd__body,1rem,16.0,16.0,inherit,(none),body,LIVE
assets/css/chapters.css,442,.intro-body p,1.08rem,17.28,17.28,inherit,(none),body,LIVE
assets/css/chapters.css,457,.videoblk__cap,.7rem,11.2,11.2,inherit,--bf,caption,ORPHAN
assets/css/chapters.css,469,.soundstrip__t,.82rem,13.12,13.12,inherit,(none),title,ORPHAN
assets/css/chapters.css,475,.faq__i summary,1.08rem,17.28,17.28,500,--hf,faq,ORPHAN
assets/css/chapters.css,479,.faq__i p,1rem,16.0,16.0,inherit,(none),faq,ORPHAN
assets/css/chapters.css,488,.ea-faq-category__heading,1.35rem,21.6,21.6,500,--hf,faq,LIVE
assets/css/chapters.css,492,".ea-faq-item__summary, .ea-faq-item__question",1.08rem,17.28,17.28,500,--hf,faq,LIVE
assets/css/chapters.css,504,.ea-faq-item__answer,1rem,16.0,16.0,inherit,(none),faq,LIVE
assets/css/chapters.css,510,.prose-acc__t,1.08rem,17.28,17.28,500,--hf,title,LIVE
assets/css/chapters.css,518,.disc__t,.82rem,13.12,13.12,inherit,(none),title,ORPHAN
assets/css/chapters.css,526,.cmp3__tag,.56rem,8.96,8.96,inherit,--bf,tag,ORPHAN
assets/css/chapters.css,527,.cmp3__t,1.16rem,18.56,18.56,600,--hf,title,ORPHAN
assets/css/chapters.css,529,.cmp3__p,.95rem,15.2,15.2,inherit,(none),body,ORPHAN
assets/css/chapters.css,546,.nav__dd,.78rem,12.48,12.48,300,--bf,nav,LIVE
assets/css/chapters.css,548,.nav__caret,.6em,9.6,9.6,inherit,(none),nav,LIVE
assets/css/chapters.css,553,.nav__sub a,.8rem,12.8,12.8,300,(none),nav,LIVE
assets/css/chapters.css,573,.rcard__t,1.14rem,18.24,18.24,600,--hf,card-title,ORPHAN
assets/css/chapters.css,575,.rcard__more p,.92rem,14.72,14.72,inherit,(none),body,ORPHAN
assets/css/chapters.css,576,.rcard__hint,1rem,16.0,16.0,inherit,(none),body,ORPHAN
assets/css/chapters.css,590,.fstep__num,"clamp(3.4rem,6vw,5.4rem)",86.4,54.4,800,--display,body,ORPHAN
assets/css/chapters.css,598,.fstep__t,1.5rem,24.0,24.0,800,--display,title,ORPHAN
assets/css/chapters.css,600,.fstep__p,1rem,16.0,16.0,inherit,(none),body,ORPHAN
assets/css/chapters.css,613,.mag-spread__fig figcaption,.72rem,11.52,11.52,inherit,--bf,caption,ORPHAN
assets/css/chapters.css,614,.mag-spread__fig figcaption b,1rem,16.0,16.0,400,--display,caption,ORPHAN
assets/css/chapters.css,618,.mag-list__n,"clamp(2.2rem,3.2vw,3rem)",46.08,35.2,400,--display,body,ORPHAN
assets/css/chapters.css,620,.mag-list__t,1.4rem,22.4,22.4,400,--display,title,ORPHAN
assets/css/chapters.css,621,.mag-list__p,.98rem,15.68,15.68,inherit,(none),body,ORPHAN
assets/css/chapters.css,654,.btile__tag,.56rem,8.96,8.96,500,--bf,tag,ORPHAN
assets/css/chapters.css,655,.btile__t,1.1rem,17.6,17.6,400,--display,title,ORPHAN
assets/css/chapters.css,656,.btile__meta,.72rem,11.52,11.52,inherit,--bf,meta,ORPHAN
assets/css/chapters.css,659,.btile--feat .btile__t,1.95rem,31.2,31.2,inherit,(none),title,ORPHAN
assets/css/chapters.css,660,.btile--tall .btile__t,1.3rem,20.8,20.8,inherit,(none),title,ORPHAN
assets/css/chapters.css,662,.btile--quad .btile__t,1.25rem,20.0,20.0,inherit,(none),title,ORPHAN
assets/css/chapters.css,679,".pager a,.pager span",.9rem,14.4,14.4,inherit,--bf,body,ORPHAN
assets/css/chapters.css,682,.pager__nav,.8rem,12.8,12.8,inherit,(none),nav,ORPHAN
assets/css/chapters.css,714,".nav__l>li>a,.nav__dd",1rem,16.0,16.0,inherit,(none),nav,LIVE
assets/css/chapters.css,739,.about__body p:first-child,1.06rem,16.96,16.96,inherit,(none),body,LIVE
assets/css/chapters.css,742,.ea-skip-link,.85rem,13.6,13.6,inherit,--bf,body,ORPHAN
assets/css/chapters.css,821,.testi-mq__btn,1.6rem,25.6,25.6,inherit,(none),button,LIVE
assets/css/chapters.css,865,.tmq__q,1rem,16.0,16.0,400,--hf,testimonial,LIVE
assets/css/chapters.css,875,.tmq__n,.74rem,11.84,11.84,500,--bf,testimonial,LIVE
assets/css/chapters.css,909,.bookcard__cover .ph,1.2rem,19.2,19.2,inherit,--serif,body,LIVE
assets/css/chapters.css,911,.bookcard__meta,.72rem,11.52,11.52,500,--bf,meta,ORPHAN
assets/css/chapters.css,912,.bookcard__t,1.5rem,24.0,24.0,300,--serif,card-title,LIVE
assets/css/chapters.css,916,.bookcard__blurb,.98rem,15.68,15.68,inherit,--hf,card-blurb,LIVE
assets/css/chapters.css,917,.bookcard__cta,.8rem,12.8,12.8,500,--bf,button,LIVE
assets/css/chapters.css,943,.gfig__cap,.82rem,13.12,13.12,inherit,--bf,caption,ORPHAN
assets/css/chapters.css,955,.ea-pending-approval__badge,.72rem,11.52,11.52,700,(none),body,LIVE
assets/css/chapters.css,959,.ea-pending-approval__title,1.05rem,16.8,16.8,700,(none),title,LIVE
assets/css/chapters.css,960,.ea-pending-approval__note,.88rem,14.08,14.08,inherit,(none),body,LIVE
assets/css/chapters.css,969,.ea-pending-inline,.8rem,12.8,12.8,600,--bf,body,LIVE
assets/css/chapters.css,990,.mokesh-hero__unmute,.78rem,12.48,12.48,inherit,--bf,hero-title,LIVE
assets/css/ea-atoms.css,74,.ea-skiplink,0.9rem,14.4,14.4,inherit,--ea-font,body,LIVE
assets/css/ea-atoms.css,165,.ea-topnav__brand,0.9rem,14.4,14.4,200,--ea-font,nav,ORPHAN
assets/css/ea-atoms.css,188,.ea-topnav__link,0.78rem,12.48,12.48,300,--ea-font,nav,ORPHAN
assets/css/ea-atoms.css,235,.ea-topnav__burger,1rem,16.0,16.0,inherit,(none),nav,ORPHAN
assets/css/ea-atoms.css,267,.ea-topnav__caret,0.7em,11.2,11.2,inherit,(none),nav,ORPHAN
assets/css/ea-atoms.css,309,.ea-topnav__sublink,0.78rem,12.48,12.48,300,--ea-font,nav,ORPHAN
assets/css/ea-atoms.css,333,.ea-topnav__lang,0.68rem,10.88,10.88,300,--ea-font,nav,ORPHAN
assets/css/ea-atoms.css,386,.ea-sound-toggle,0.68rem,10.88,10.88,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,413,.ea-sound-toggle__ico,0.8rem,12.8,12.8,inherit,(none),body,ORPHAN
assets/css/ea-atoms.css,480,.ea-hero__title,3.4rem,54.4,54.4,100,--ea-font,hero-title,ORPHAN
assets/css/ea-atoms.css,494,.ea-hero__subtitle,1.05rem,16.8,16.8,300,(none),hero-title,ORPHAN
assets/css/ea-atoms.css,505,.ea-hero__trust,0.78rem,12.48,12.48,200,(none),hero-title,ORPHAN
assets/css/ea-atoms.css,523,.ea-hero__title,2.4rem,38.4,38.4,inherit,(none),hero-title,ORPHAN
assets/css/ea-atoms.css,526,.ea-hero__title,1.8rem,28.8,28.8,inherit,(none),hero-title,ORPHAN
assets/css/ea-atoms.css,527,.ea-hero__subtitle,0.92rem,14.72,14.72,inherit,(none),hero-title,ORPHAN
