page,selector,axis,computed,expected_nearest,source_sheet,status
/thank-you/,html>body.rtl.wp-singular.page-template-default>a.screen-reader-text.skip-link,family,-apple-system,Heebo,,NEW
/thank-you/,header.site-header.has-inline-mobile-toggle>div.inside-header.grid-container>div.site-branding>p.main-title>a,family,-apple-system,Heebo,,NEW
/thank-you/,div.inside-header.grid-container>nav.main-navigation.nav-align-right.sub-menu-left>div.inside-navigation.grid-container>span.ea-header-en-wrap>a.ea-header-en-link,family,-apple-system,Heebo,,NEW
/thank-you/,div.inside-navigation.grid-container>div.main-nav>ul.menu.sf-menu>li.menu-item.menu-item-type-post_type.menu-item-object-page>a,family,-apple-system,Heebo,,NEW
/thank-you/,ul.menu.sf-menu>li.menu-item.menu-item-type-post_type.menu-item-object-page>ul.sub-menu>li.menu-item.menu-item-type-post_type.menu-item-object-page>a,family,-apple-system,Heebo,,NEW
/thank-you/,main.site-main>article.post-29.page.type-page>div.inside-article>header.entry-header>h1.entry-title,family,Rubik,Heebo,,NEW
/thank-you/,main.site-main>article.post-29.page.type-page>div.inside-article>div.entry-content>p,family,Rubik,Heebo,,NEW
/thank-you/,body.rtl.wp-singular.page-template-default>nav.ea-footer-legal-nav>ul.ea-footer-legal-menu>li.menu-item.menu-item-type-post_type.menu-item-object-page>a,family,Rubik,Heebo,,NEW
/thank-you/,body.rtl.wp-singular.page-template-default>div.site-footer>footer.site-info>div.inside-site-info.grid-container>div.copyright-bar,family,-apple-system,Heebo,,NEW
/thank-you/,div.site-footer>footer.site-info>div.inside-site-info.grid-container>div.copyright-bar>span.copyright,family,-apple-system,Heebo,,NEW
/thank-you/,div.site-footer>footer.site-info>div.inside-site-info.grid-container>div.copyright-bar>a,family,-apple-system,Heebo,,NEW
/thank-you/,html>body.rtl.wp-singular.page-template-default>a.ea-whatsapp-float>span.ea-whatsapp-float__label,family,-apple-system,Heebo,,NEW
/en/,html>body.wp-singular.page-template-default.page>header.ea-en-head>a.ea-en-head__b,family,Frank Ruhl Libre,Heebo,,NEW
/,main.chapters-main>section.bleed>div.bleed__c>div.bleed__in>p.bleed__q.r.in,family,Frank Ruhl Libre,Heebo,chapters.css (--serif/--display),catalogued
/services/didgeridoo-treatment-breath/,main.chapters-main>section.bleed>div.bleed__c>div.bleed__in>p.bleed__q.r.in,family,Frank Ruhl Libre,Heebo,chapters.css (--serif/--display),catalogued
/%d7%aa%d7%9c%d7%9e%d7%99%d7%93%d7%99%d7%9d-%d7%95%d7%9e%d7%98%d7%95%d7%a4%d7%9c%d7%99%d7%9d-%d7%9e%d7%9e%d7%9c%d7%99%d7%a6%d7%99%d7%9d-%d7%a2%d7%9c-%d7%94%d7%9e%d7%a8%d7%9b%d7%96-%d7%9c%d7%98%d7%99/,div.wrap>div.ea-post-content>div.xdj266r.x11i5rnm.xat24cr>div>strong,size,16,--fs-sm (15.3px),,NEW
/40-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%a4%d7%a8%d7%a1%d7%95%d7%9e%d7%aa-%d7%90%d7%97%d7%aa-%d7%95%d7%97%d7%96%d7%a8%d7%a0%d7%95/,section.sec>div.wrap>div.ea-post-content>p.MsoNormal>span,family,Arial,Heebo,,NEW
/40-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%a4%d7%a8%d7%a1%d7%95%d7%9e%d7%aa-%d7%90%d7%97%d7%aa-%d7%95%d7%97%d7%96%d7%a8%d7%a0%d7%95/,p.MsoNormal>span>a>span>strong,family,Arial,Heebo,,NEW
