# ACCEPTED DRIFT — S006 · 2026-09-06
# 126 מעברי «טרם נבדק» ← «הוגש לבדיקה» מגלי סבב 2, 23.8–25.8.
# לכל שורה כאן יש ראיית ביצוע (r2-NNN-items.json, ו-VERIFY/CONFIRM).
# ממתין להכרעת team_00 · DECIDE_S006_TRACKER_DRIFT_2026-09-06_v1
# הקובץ הזה אינו ויתור גורף: הוא מונה כל הפרה בנפרד. כל הפרה חדשה עדיין חוסמת.

סבב-2!R2-001: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-002: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-004: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-005: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-006: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-007: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-008: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-009: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-010: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-011: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-012: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
