__sheet__,#,סוג,נתיב,כותרת,קובץ תוכן,מקור חומר (אייל),WP קשור,סטטוס מכונה,תאריך עבודה אחרון,ראיות QA,הערות סוכן,סטטוס אישור,הערות נימרוד,הערות אייל,תאריך אישור
סבב-1-ליבה,R1-01,עמוד,/,בית,home-defaults.php,דף הבית,S002-P001-WP002 (ON_HOLD),בעבודה,2026-08-17,"נפרס לסטייג׳ינג ואומת חי: 14/14 אסרציות חיוביות מול ה-DOM (סדר הפרקים 02-04-05-06-07-08-09-10-11 עולה, שורת trust בשתי שורות, CTA לכל ההמלצות → /media/, CTA סופי → /contact/, כרטיסי השוואה עם 2 strong ו-9 br). qa_probe: מובייל 375 ודסקטופ 1440 ללא גלישה. אין ACF override — ברירות המחדל מרנדרות.","7 סעיפים ברורים בוצעו באורקסטרציה (H-02,03,04,05,08,09,11) + H-13. נותרו 5 באסקלציה: H-01/H-06/H-07 לאייל, H-10/H-12 לנימרוד. ראו טאב «עמוד · בית».",—,,,
סבב-1-ליבה,R1-02,עמוד,/treatment/,טיפול בדיג'רידו,treatment-defaults.php,טיפול בדיג'רידו,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-03,עמוד,/method/,השיטה,method-defaults.php,השיטה,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-04,עמוד,/lessons/,שיעורי דיג'רידו,lessons-defaults.php,שיעורי נגינה,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-05,עמוד,/sound-healing/,סאונד הילינג,sound-healing-defaults.php,סאונדהילינג,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-06,עמוד,/learning/,לימוד והכשרה,learning-defaults.php,,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-07,עמוד,/learning/therapist-training/,הכשרות למטפלים,therapist-training-defaults.php,,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-08,עמוד,/learning/lectures/,הרצאות,lectures-defaults.php,,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-09,עמוד,/learning/workshops/,סדנאות,workshops-defaults.php,,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-10,עמוד,/shop/,עמוד קטלוג ראשי,shop-defaults.php,כלים למכירה,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-11,עמוד,/repair/,תיקון וחידוש דיג'רידו,repair-defaults.php,תיקון כלי דיג'רידו,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-12,עמוד,/didgeridoos/,כלי דיג'רידו למכירה,didgeridoos-defaults.php,כלים למכירה,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-13,עמוד,/bags/,תיקים לדיג'רידו,bags-defaults.php,תיקים לדיג'רידו,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-14,עמוד,/stands-storage/,סטנדים לאחסון דיג'רידו,stands-storage-defaults.php,סטנדים לדיג'רידו לאחסון,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-15,עמוד,/stand-floor/,סטנד רצפתי לנגינה בישיבה נמוכה,stand-floor-defaults.php,סטנד רצפתי לנגינה בישיבה נמוכה,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-16,עמוד,/books/,ספרים,muzza-defaults.php,מוזה הוצאה לאור - ספרים,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-17,עמוד,/books/kushi-blantis/,כושי בלאנטיס,kushi-blantis-defaults.php,כושי בלאנטיס,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-18,עמוד,/books/tsva-bekahol/,צבע בכחול וזרוק לים,tsva-bekahol-defaults.php,צבע בכחול וזרוק לים,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-19,עמוד,/books/vekatavta/,וכתבת,vekatavta-defaults.php,וכתבת,"WP-EI-01, WP-EI-02 (ON_HOLD)",טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-20,עמוד,/blog/,בלוג,tpl-blog-archive.php (תבנית),,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-21,עמוד,/eyal-amit/,אייל עמית,about-defaults.php,אודות - אייל עמית,S002-P001-WP001 (ON_HOLD),טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-22,עמוד,/eyal-amit/mokesh-dahiman/,מוקש דהימן — לזכרו,mokesh-defaults.php,מוקש - דף הנחצחה לזרכו ופועלו,WP-EI-04 (ON_HOLD),טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-23,עמוד,/contact/,צור קשר,contact-defaults.php,,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-24,עמוד,/en/,English,en-defaults.php,,WP-EI-06 (ON_HOLD),טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-25,עמוד,/faq/,שאלות נפוצות (FAQ),faq-defaults.php,דף FAQ,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-26,עמוד,/media/,המלצות — קטלוג מרכזי (ומדיה),media-defaults.php,"ריכוז כל ההמלצות - טיפול בדיג'רידו, שיעורי נגינה, סאונדהילינג,",WP-EI-07 (ON_HOLD),טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-27,עמוד,/galleries/,גלריות — קטלוג מרכזי,galleries-defaults.php,,,טרם נבדק,,,,—,,,
סבב-1-ליבה,R1-28,עמוד,/snoring-sleep-apnea/,"דיג׳רידו, נחירות ודום נשימה בשינה",snoring-sleep-apnea-defaults.php,נחירות ודום נשימה,WP-EI-03 (ON_HOLD),טרם נבדק,,,,—,,,
