__sheet__,#,סטטוס מכונה,סטטוס אישור,ממתין ל,נתיב,כותרת,סוג,קובץ תוכן,מקור חומר (אייל),WP קשור,תאריך עבודה אחרון,ראיות QA,הערות סוכן,הערות נימרוד,הערות אייל,תאריך אישור
סבב-1-ליבה,R1-01,הוגש לבדיקה,—,אייל,/,בית,עמוד,home-defaults.php,דף הבית,S002-P001-WP002 (ON_HOLD),2026-08-17,VERDICT PASS · composer-2.5 ≠ בנאי Grok. פרקים 01-12 בסדר · פלייסהולדרים 03+09 · מספור 02-11. artifact: _COMMUNICATION/team_90/VERDICT-R1-01-HOME-PLACEHOLDERS-2026-08-17.md,"שלד 03+09 נבנה. ממתינים לאייל: H-01 ציר זמן · H-06 קישורי וידאו · H-07 מדיה (הפלייסהולדר חי, השאלה ניתנת להצגה).",,,
סבב-1-ליבה,R1-02,הוגש לבדיקה,—,אייל,/treatment/,טיפול בדיג'רידו,עמוד,treatment-defaults.php,טיפול בדיג'רידו,,2026-08-17,VERDICT PASS treatment + E2E lens (Composer) · qa_probe desktop,PASS E2E+אקסל Composer. ממתין לאייל: T-01 גרסה · T-02 סרטון. /treatment/ ו-?compare=eyal,,,
סבב-1-ליבה,R1-03,הוגש לבדיקה,—,אייל,/method/,השיטה,עמוד,method-defaults.php,השיטה,,2026-08-18,VERDICT PASS חוזה תוכן (composer-2.5 ≠ בנאי Grok). 14 סקשנים · 7 FAQ · 8 FB. MTH-01 תמונות. artifact: _COMMUNICATION/team_90/VERDICT-R1-03-METHOD-2026-08-17.md,14 סקשנים מה-md. ממתין לאייל: MTH-01 תמונות הירו/ספליט.,,,
סבב-1-ליבה,R1-04,טרם נבדק,—,team_100,/lessons/,שיעורי דיג'רידו,עמוד,lessons-defaults.php,שיעורי נגינה,,,,,,,
סבב-1-ליבה,R1-05,טרם נבדק,—,team_100,/sound-healing/,סאונד הילינג,עמוד,sound-healing-defaults.php,סאונדהילינג,,,,,,,
סבב-1-ליבה,R1-06,טרם נבדק,—,team_100,/learning/,לימוד והכשרה,עמוד,learning-defaults.php,,,,,,,,
סבב-1-ליבה,R1-07,טרם נבדק,—,team_100,/learning/therapist-training/,הכשרות למטפלים,עמוד,therapist-training-defaults.php,,,,,,,,
סבב-1-ליבה,R1-08,טרם נבדק,—,team_100,/learning/lectures/,הרצאות,עמוד,lectures-defaults.php,,,,,,,,
סבב-1-ליבה,R1-09,טרם נבדק,—,team_100,/learning/workshops/,סדנאות,עמוד,workshops-defaults.php,,,,,,,,
סבב-1-ליבה,R1-10,טרם נבדק,—,team_100,/shop/,עמוד קטלוג ראשי,עמוד,shop-defaults.php,כלים למכירה,,,,,,,
סבב-1-ליבה,R1-11,טרם נבדק,—,team_100,/repair/,תיקון וחידוש דיג'רידו,עמוד,repair-defaults.php,תיקון כלי דיג'רידו,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
סבב-1-ליבה,R1-12,טרם נבדק,—,team_100,/didgeridoos/,כלי דיג'רידו למכירה,עמוד,didgeridoos-defaults.php,כלים למכירה,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
