מזהה,נתיב,נתיב_decoded,סוג,כותרת,HTTP_ראשון,HTTP_סופי,URL_סופי,חבילה_דרייב,מועמד_להקפאה,הערה
R2-001,/about/,/about/,עמוד,אודות אייל עמית,200,200,http://eyalamit-co-il-2026.s887.upress.link/about/,אודות - אייל עמית,לא-ברור,אותה חבילת אודות משמשת גם את R1-21
R2-002,/about/moksha/,/about/moksha/,עמוד,מוקש דהימן — על השם,200,200,http://eyalamit-co-il-2026.s887.upress.link/about/moksha/,מוקש - דף הנחצחה לזרכו ופועלו,לא-ברור,אותה חבילת אודות משמשת גם את R1-21
R2-003,/accessibility/,/accessibility/,עמוד,הצהרת נגישות,200,200,http://eyalamit-co-il-2026.s887.upress.link/accessibility/,אין,כן,
R2-004,/courses-soon/,/courses-soon/,legacy/301,קורסים — בקרוב,301,200,http://eyalamit-co-il-2026.s887.upress.link/learning/courses-external/,אין,לא,
R2-005,/hashita/,/hashita/,legacy/301,השיטה,301,200,http://eyalamit-co-il-2026.s887.upress.link/method/,אין,לא,
R2-006,/historical-articles/,/historical-articles/,עמוד,כתבות היסטוריות,200,200,http://eyalamit-co-il-2026.s887.upress.link/historical-articles/,אין,כן,
R2-007,/learning/courses-external/,/learning/courses-external/,עמוד,קורסים (סקולר / חיצוני),200,200,http://eyalamit-co-il-2026.s887.upress.link/learning/courses-external/,אין,כן,
R2-008,/muzeh/,/muzeh/,legacy/301,מוזה הוצאה לאור,301,200,http://eyalamit-co-il-2026.s887.upress.link/books/,אין,לא,
R2-009,/muzeh/kushi-blantis/,/muzeh/kushi-blantis/,legacy/301,כושי בלאנטיס,301,200,http://eyalamit-co-il-2026.s887.upress.link/books/kushi-blantis/,אין,לא,
R2-010,/muzeh/tsva-bechol-ve-zorek-layam/,/muzeh/tsva-bechol-ve-zorek-layam/,legacy/301,צבע בכחול וזרוק לים,301,200,http://eyalamit-co-il-2026.s887.upress.link/books/tsva-bekahol/,אין,לא,
R2-011,/muzeh/vekatavt/,/muzeh/vekatavt/,legacy/301,וכתבת,301,200,http://eyalamit-co-il-2026.s887.upress.link/books/vekatavta/,אין,לא,
R2-012,/muzza/,/muzza/,legacy/301,מוזה הוצאה לאור,301,200,http://eyalamit-co-il-2026.s887.upress.link/books/,אין,לא,
R2-013,/muzza/tsva-bechol-ve-zorek-layam/,/muzza/tsva-bechol-ve-zorek-layam/,legacy/301,צבע בכחול וזרוק לים,301,200,http://eyalamit-co-il-2026.s887.upress.link/books/tsva-bekahol/,אין,לא,
R2-014,/muzza/vekatavt/,/muzza/vekatavt/,legacy/301,וכתבת,301,200,http://eyalamit-co-il-2026.s887.upress.link/books/vekatavta/,אין,לא,
R2-015,/press/,/press/,עמוד,עיתונות,200,200,http://eyalamit-co-il-2026.s887.upress.link/press/,אין,כן,
R2-016,/privacy/,/privacy/,עמוד,מדיניות פרטיות,200,200,http://eyalamit-co-il-2026.s887.upress.link/privacy/,אין,כן,
R2-017,/services/,/services/,עמוד,שירותים,200,200,http://eyalamit-co-il-2026.s887.upress.link/services/,אין,כן,
R2-018,/services/didgeridoo-lessons/,/services/didgeridoo-lessons/,legacy/301,שיעורי דיג'רידו / נגינה,301,200,http://eyalamit-co-il-2026.s887.upress.link/lessons/,אין,לא,
R2-019,/services/didgeridoo-treatment-breath/,/services/didgeridoo-treatment-breath/,legacy/301,טיפול בדיג'רידו / נשימה,301,200,http://eyalamit-co-il-2026.s887.upress.link/treatment/,אין,לא,
R2-020,/services/handmade-instruments/,/services/handmade-instruments/,legacy/301,כלים בעבודת יד ואביזרים,301,200,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/instruments/,אין,לא,
R2-021,/shows-heritage/,/shows-heritage/,עמוד,הופעות / מורשת מופע,200,200,http://eyalamit-co-il-2026.s887.upress.link/shows-heritage/,אין,כן,
R2-022,/terms/,/terms/,עמוד,תקנון,200,200,http://eyalamit-co-il-2026.s887.upress.link/terms/,אין,כן,
R2-023,/thank-you/,/thank-you/,עמוד,תודה,200,200,http://eyalamit-co-il-2026.s887.upress.link/thank-you/,אין,כן,
R2-024,/tools-and-accessories/,/tools-and-accessories/,עמוד,כלים ואביזרים,200,200,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/,אין,כן,
R2-025,/tools-and-accessories/instruments/,/tools-and-accessories/instruments/,עמוד,כלים בעבודת יד ואביזרים,200,200,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/instruments/,אין,כן,
R2-026,/tools-and-accessories/repair/,/tools-and-accessories/repair/,עמוד,תיקון וחידוש כלים,200,200,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/repair/,אין,כן,
R2-027,/%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%9e%d7%95%d7%a4%d7%a2-%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-spoken-stories-15/,/אייל-עמית-תופעת-יחיד-מופע-סיפורים-spoken-stories-15/,פוסט,"מופע ""ספיישל ברצלונה""! 29.12.16 תיאטרון הידית פרדס חנה / אייל עמית – תופעת יחיד – מופע סיפורים – spoken stories",200,200,http://eyalamit-co-il-2026.s887.upress.link/%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%9e%d7%95%d7%a4%d7%a2-%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-spoken-stories-15/,אין,כן,
R2-028,/%d7%90%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%9c%d7%90-%d7%aa%d7%9e%d7%a6%d7%90%d7%95-%d7%91%d7%a8%d7%a9%d7%aa%d7%95%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8%d7%99%d7%9d/,/את-הספר-החדש-שלי-לא-תמצאו-ברשתות-הספרים/,פוסט,את הספר החדש שלי לא תמצאו ברשתות הספרים. למה?,200,200,http://eyalamit-co-il-2026.s887.upress.link/%d7%90%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%9c%d7%90-%d7%aa%d7%9e%d7%a6%d7%90%d7%95-%d7%91%d7%a8%d7%a9%d7%aa%d7%95%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8%d7%99%d7%9d/,אין,כן,
R2-029,/%d7%91%d7%99%d7%a7%d7%95%d7%a8%d7%95%d7%aa-%d7%92%d7%95%d7%9c%d7%a9%d7%99%d7%9d-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4/,/ביקורות-גולשים-אודות-עכשיו-מופע-הסיפ/,פוסט,ביקורות גולשים אודות: עכשיו!!!!! – מופע הסיפורים של אייל עמית – תופעת יחיד,200,200,http://eyalamit-co-il-2026.s887.upress.link/%d7%91%d7%99%d7%a7%d7%95%d7%a8%d7%95%d7%aa-%d7%92%d7%95%d7%9c%d7%a9%d7%99%d7%9d-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4/,אין,כן,
R2-030,/%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%99%d7%95-%d7%9c%d7%91%d7%a0%d7%99%d7%99%d7%94-%d7%95%d7%a0%d7%92%d7%99%d7%a0/,/דיגרידו-פרדס-חנה-סטודיו-לבנייה-ונגינ/,פוסט,נשימה מעגלית – סטודיו דיג'רידו לנגינה ובנייה בפרדס חנה – אייל עמית. פוסט מ 2012,200,200,http://eyalamit-co-il-2026.s887.upress.link/%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%99%d7%95-%d7%9c%d7%91%d7%a0%d7%99%d7%99%d7%94-%d7%95%d7%a0%d7%92%d7%99%d7%a0/,אין,כן,
R2-031,/%d7%93%d7%a3-%d7%a4%d7%99%d7%99%d7%a1%d7%91%d7%95%d7%a7-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%a9%d7%a0%d7%99-%d7%94%d7%9e%d7%95%d7%a4%d7%a2%d7%99/,/דף-פייסבוק-חדש-למופע-הזמנה-לשני-המופעי/,פוסט,"דף פייסבוק חדש למופע + הזמנה לשני המופעים הקרובים בת""א ובפרדס חנה",200,200,http://eyalamit-co-il-2026.s887.upress.link/%d7%93%d7%a3-%d7%a4%d7%99%d7%99%d7%a1%d7%91%d7%95%d7%a7-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%a9%d7%a0%d7%99-%d7%94%d7%9e%d7%95%d7%a4%d7%a2%d7%99/,אין,כן,
