מזהה,שם_עמוד,נתיב,נתיב_decoded,סוג,HTTP_ראשון,HTTP_סופי,נתיב_סופי,URL_סופי,חבילה_דרייב,חפיפה_סבב1,דלי_מוצע,נימוק
R2-001,אודות אייל עמית,/about/,/about/,עמוד,200,200,/about/,http://eyalamit-co-il-2026.s887.upress.link/about/,אודות - אייל עמית,כפילות אפשרית מול אייל עמית / מוקש דהימן בסבב 1,נימרוד,"חבילת דרייב משותפת עם עמודי סבב 1 — כפילות נתיבים, לא בייטים להדבקה."
R2-002,מוקש דהימן — על השם,/about/moksha/,/about/moksha/,עמוד,200,200,/about/moksha/,http://eyalamit-co-il-2026.s887.upress.link/about/moksha/,מוקש - דף הנחצחה לזרכו ופועלו,כפילות אפשרית מול אייל עמית / מוקש דהימן בסבב 1,נימרוד,"חבילת דרייב משותפת עם עמודי סבב 1 — כפילות נתיבים, לא בייטים להדבקה."
R2-003,הצהרת נגישות,/accessibility/,/accessibility/,עמוד,200,200,/accessibility/,http://eyalamit-co-il-2026.s887.upress.link/accessibility/,אין,,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-004,קורסים — בקרוב,/courses-soon/,/courses-soon/,legacy/301,301,200,/learning/courses-external/,http://eyalamit-co-il-2026.s887.upress.link/learning/courses-external/,אין,יעד 301 הוא עמוד סבב 2 בלי חבילה,נימרוד,"ה-301 חי, אך היעד אינו עמוד שהוגש בסבב 1 — צריך הכרעה אם זה מספיק."
R2-005,השיטה,/hashita/,/hashita/,legacy/301,301,200,/method/,http://eyalamit-co-il-2026.s887.upress.link/method/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-006,כתבות היסטוריות,/historical-articles/,/historical-articles/,עמוד,200,200,/historical-articles/,http://eyalamit-co-il-2026.s887.upress.link/historical-articles/,אין,,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-007,קורסים (סקולר / חיצוני),/learning/courses-external/,/learning/courses-external/,עמוד,200,200,/learning/courses-external/,http://eyalamit-co-il-2026.s887.upress.link/learning/courses-external/,אין,פריט תפריט קורסים בסבב 1 מוקפא ומפנה ל-#,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-008,מוזה הוצאה לאור,/muzeh/,/muzeh/,legacy/301,301,200,/books/,http://eyalamit-co-il-2026.s887.upress.link/books/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-009,כושי בלאנטיס,/muzeh/kushi-blantis/,/muzeh/kushi-blantis/,legacy/301,301,200,/books/kushi-blantis/,http://eyalamit-co-il-2026.s887.upress.link/books/kushi-blantis/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-010,צבע בכחול וזרוק לים,/muzeh/tsva-bechol-ve-zorek-layam/,/muzeh/tsva-bechol-ve-zorek-layam/,legacy/301,301,200,/books/tsva-bekahol/,http://eyalamit-co-il-2026.s887.upress.link/books/tsva-bekahol/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
