מזהה,שם_עמוד,נתיב,סוג,גל,פעולה
R2-001,אודות אייל עמית,/about/,עמוד,W5-hold,שאלה לאייל על העץ — לא 301 בגל הזה
R2-002,מוקש דהימן — על השם,/about/moksha/,עמוד,W1,301 אל מוקש לזכרו; לא לגעת בגוף היעד
R2-003,הצהרת נגישות,/accessibility/,עמוד,W4,מחקר משפטי → טיוטה → אייל מאשר
R2-004,קורסים — בקרוב,/courses-soon/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-005,השיטה,/hashita/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-006,כתבות היסטוריות,/historical-articles/,עמוד,W5,העלאה כמו שחי / placeholder + סימון על העץ
R2-007,קורסים (סקולר / חיצוני),/learning/courses-external/,עמוד,W5,העלאה כמו שחי / placeholder + סימון על העץ
R2-008,מוזה הוצאה לאור,/muzeh/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-009,כושי בלאנטיס,/muzeh/kushi-blantis/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-010,צבע בכחול וזרוק לים,/muzeh/tsva-bechol-ve-zorek-layam/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-011,וכתבת,/muzeh/vekatavt/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-012,מוזה הוצאה לאור,/muzza/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-013,צבע בכחול וזרוק לים,/muzza/tsva-bechol-ve-zorek-layam/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-014,וכתבת,/muzza/vekatavt/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-015,עיתונות,/press/,עמוד,W5,העלאה כמו שחי / placeholder + סימון על העץ
R2-016,מדיניות פרטיות,/privacy/,עמוד,W4,מחקר משפטי → טיוטה → אייל מאשר
R2-017,שירותים,/services/,עמוד,W5,העלאה כמו שחי / placeholder + סימון על העץ
R2-018,שיעורי דיג'רידו / נגינה,/services/didgeridoo-lessons/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-019,טיפול בדיג'רידו / נשימה,/services/didgeridoo-treatment-breath/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-020,כלים בעבודת יד ואביזרים,/services/handmade-instruments/,legacy/301,W1,אימות 301 ליעד סבב 1 (או שרשרת); לא עריכת תוכן
R2-021,הופעות / מורשת מופע,/shows-heritage/,עמוד,W5,העלאה כמו שחי / placeholder + סימון על העץ
R2-022,תקנון,/terms/,עמוד,W4,מחקר משפטי → טיוטה → אייל מאשר
R2-023,תודה,/thank-you/,עמוד,W5,העלאה כמו שחי / placeholder + סימון על העץ
R2-024,כלים ואביזרים,/tools-and-accessories/,עמוד,W1,301 לשער חנות / כלים למכירה / תיקון דיג'רידו
R2-025,כלים בעבודת יד ואביזרים,/tools-and-accessories/instruments/,עמוד,W1,301 לשער חנות / כלים למכירה / תיקון דיג'רידו
R2-026,תיקון וחידוש כלים,/tools-and-accessories/repair/,עמוד,W1,301 לשער חנות / כלים למכירה / תיקון דיג'רידו
R2-027,"מופע ""ספיישל ברצלונה""! 29.12.16 תיאטרון הידית פרדס חנה / אייל עמית – תופעת יחיד – מופע סיפורים – spoken stories",/%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%9e%d7%95%d7%a4%d7%a2-%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-spoken-stories-15/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
