file	site_alt	site_src	note	raw_caption	raw_altText	status	assigned
assets/images/chapters/vekatavta/veka-06.jpg	הדמיית כריכת הספר וכתבת על רקע רכב	alt	להוסיף לארכיון. כתבות היסטוריות			need	
assets/images/chapters/vekatavta/veka-07.jpg	הדמיית כריכת הספר וכתבת על רקע רכב	alt	כתבה אודות מופע הסיפורים שלי. לשים בדף הארכיון. כתבות היסטוריות			need	
assets/images/hero-wide-studio.jpg						need	מוקש דהימן — לזכרו
assets/images/chapters/bags/bag-01.jpg	תיק לדיג'רידו	alt				need	תיקים לדיג'רידו
assets/images/chapters/bags/bag-02.jpg	תיק לדיג'רידו	alt				need	תיקים לדיג'רידו
assets/images/chapters/bags/bag-03.jpg	תיק לדיג'רידו	alt		תיק לדיג'רידו. תיקים לדיג'רידו אייל עמית נשימה מעגלית פרדס חנה	תיק לדיג'רידו. תיקים לדיג'רידו אייל עמית נשימה מעגלית פרדס חנה	no	תיקים לדיג'רידו
assets/images/chapters/bags/bag-04.jpg	תיק לדיג'רידו	alt				need	תיקים לדיג'רידו
assets/images/chapters/bags/bag-05.jpg	תיק לדיג'רידו	alt		תיק לדיג'רידו. תיקים לדיג'רידו אייל עמית נשימה מעגלית פרדס חנה	תיק לדיג'רידו. תיקים לדיג'רידו אייל עמית נשימה מעגלית פרדס חנה	need	תיקים לדיג'רידו
assets/images/chapters/bags/bag-06.jpg	תיק לדיג'רידו	alt		סטודיו נשימה מעגלית דיג'רידו אייל עמית		no	תיקים לדיג'רידו
assets/images/chapters/breath-practice.jpg	אייל עמית עם דיג׳רידו	alt				no	
assets/images/chapters/didg-bells.jpg				המרכז לטיפול בדיג'רידו - סטודיו נשימה מעגלית - אייל עמית - פרדס חנה		no	תיקון וחידוש כלים
assets/images/chapters/didg-spiral-detail.jpg	אייל עמית עם דיג׳רידו	alt				no	כלי דיג'רידו למכירה
assets/images/chapters/didgs-window.jpg				המרכז לטיפול בדיג'רידו - סטודיו נשימה מעגלית - אייל עמית - פרדס חנה		no	
assets/images/chapters/eyal-bright.jpg	אייל עמית עם דיג׳רידו	alt	גלריה כללית בתחתית העמוד	סטודיו נשימה מעגלית פרדס חנה אייל עמית - המרכז לטיפול ב דידג'רידו (9)		need	שיעורי דיג'רידו
assets/images/chapters/eyal-child-phone.jpg							
assets/images/chapters/eyal-close.jpg	תרגול נשימה עם דיג׳רידו	alt	גלריה כללית בתחתית העמוד	המרכז לטיפול בדיג'רידו - סטודיו נשימה מעגלית - אייל עמית - פרדס חנה	המרכז לטיפול בדיג'רידו - סטודיו נשימה מעגלית - אייל עמית - פרדס חנה	no	שיעורי דיג'רידו
assets/images/chapters/eyal-playing.jpg	פנים הסטודיו	alt	גלריה כללית בתחתית העמוד	סטודיו נשימה מעגלית פרדס חנה אייל עמית - המרכז לטיפול ב דידג'רידו		no	שיעורי דיג'רידו
assets/images/chapters/eyal-portrait-garden.jpg	אייל עמית בגינת הסטודיו בפרדס חנה	media_alt		סטודיו נשימה מעגלית פרדס חנה אייל עמית - המרכז לטיפול ב דידג'רידו	סטודיו נשימה מעגלית פרדס חנה אייל עמית - המרכז לטיפול ב דידג'רידו	need	כלי דיג'רידו למכירה
assets/images/chapters/eyal-receiving.jpg	נגינה	alt		טיפול בדיג'רידו סאונד הילינג דידג'רידו מדיטציית דיג'רידו	טיפול בדיג'רידו סאונד הילינג דידג'רידו מדיטציית דיג'רידו	no	סאונד הילינג
assets/images/chapters/eyal-studio-play.jpg	אייל עמית מתרגל נשימה דרך הדיג׳רידו	alt		סטודיו נשימה מעגלית פרדס חנה אייל עמית - המרכז לטיפול ב דידג'רידו (9)	סטודיו נשימה מעגלית פרדס חנה אייל עמית - המרכז לטיפול ב דידג'רידו (9)	no	תיקון וחידוש כלים
assets/images/chapters/eyal-teaching.jpg	נגינה	alt	גלריה כללית בתחתית העמוד	קוס SEO עם אורן שץ	קוס SEO עם אורן שץ	no	צבע בכחול וזרוק לים
assets/images/chapters/eyal-window.jpg	Eyal Amit playing the didgeridoo	media_alt	גלריה כללית בתחתית העמוד			no	שיעורי דיג'רידו
assets/images/chapters/eyal-workshop.jpg	הגינה	alt	גלריה כללית בתחתית העמוד	סטנד לדיג'רידו סטודיו נשימה מעגלית פרדס חנה אייל עמית	סטנד לדיג'רידו סטודיו נשימה מעגלית פרדס חנה אייל עמית	no	שיעורי דיג'רידו
assets/images/chapters/garden.jpg	פנים הסטודיו בפרדס חנה	alt				no	
assets/images/chapters/group-session-garden.jpg	פנים הסטודיו	alt	וגם בעמוד סדנאות		דיג'רידו אייל עמית	no	סאונד הילינג
assets/images/chapters/home-peek/peek-01.jpeg	אייל עמית וקבוצת מבקרים מול אוהל טיפי לבן בגינה	alt				no	
assets/images/chapters/home-peek/peek-02.jpeg	אייל עמית וקבוצת מבקרים מול אוהל טיפי לבן בגינה	alt				no	
assets/images/chapters/home-peek/peek-03.jpeg	אייל עמית וקבוצת מבקרים מול אוהל טיפי לבן בגינה	alt				no	
assets/images/chapters/home-peek/peek-05.jpeg	אייל עמית וקבוצת מבקרים מול אוהל טיפי לבן בגינה	alt	גלריה כללית בתחתית העמוד			no	שיעורי דיג'רידו
assets/images/chapters/home-peek/peek-07.jpeg	סמל אום שקוע בחול ומוקף צדפים, קטורת מעלה עשן ברקע	alt		המרכז לטיפול בדיג'רידו  - סטודיו נשימה מעגלית פרדס חנה אייל עמית - המרכז לטיפול ב דידג'רידו		no	
assets/images/chapters/home-peek/peek-08.jpeg	גבר מזוקן מנגן בדיג'רידו כהה על רצפת עץ, ליד ארון מגירות אדום	alt		לוגו סטודיו נשימה מעגלית דיגרידו אייל עמית	לוגו סטודיו נשימה מעגלית דיגרידו אייל עמית	no	
assets/images/chapters/home-peek/peek-09.jpeg	חצר ירוקה עם ערוגות ירק, עץ דקל ובית מגורים ברקע	alt				need	
assets/images/chapters/home-peek/peek-10.jpeg	שביל כניסה בין קנים אל שלט הסטודיו Didgeridoo על גדר במבוק	alt				need	
assets/images/chapters/home-peek/peek-11.jpeg	לוגו cbDIDG, עיגול פסים שחורים מסתחררים על רקע לבן	alt	גלריה כללית בתחתית העמוד	המרכז לטיפול בדיג'רידו  - סטודיו נשימה מעגלית פרדס חנה אייל עמית - המרכז לטיפול ב דידג'רידו		no	שיעורי דיג'רידו
