path,category,in_map,direct,location,follow,hops,final,verdict,url
/wp-login.php/,soft-404,no,302,http://eyalamit-co-il-2026.s887.upress.link/wp-login.php,200,1,/wp-login.php,covered,https://www.eyalamit.co.il/wp-login.php?redirect_to=https://www.eyalamit.co.il/Blog/%25d7%25a1%25d7%2593%25d7%25a0%25d7%25aa-%25d7%2593%25d7%2599%25d7%2592%25d7%25a8%25d7%2599%25d7%2593%25d7%2595-%25d7%25a7%25d7%2591%25d7%2595%25d7%25a6%25d7%25aa%25d7%2599%25d7%25aa-%25d7%259e%25d7%25a7%25d7%2599%25d7%25a4%25d7%2594-%25d7%2595%25d7%2599%25d7%2599%25d7%2597%25d7%2595%25d7%2593%25d7%2599%25d7%25aa-%25d7%259c/
/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/הדיגרידו-ככלי-לריפוי-עצמי/,alternate-canonical,yes,301,http://eyalamit-co-il-2026.s887.upress.link/treatment/,200,1,/treatment/,covered,https://www.eyalamit.co.il/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/הדיגרידו-ככלי-לריפוי-עצמי
/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/nukesh-dhiman-jungel-vibes-rishikesh-india-didgeridoo-מוקש-רישיקש-דיגרידו-33/feed/,noindex,no,404,,,,,needs-410,https://www.eyalamit.co.il/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/nukesh-dhiman-jungel-vibes-rishikesh-india-didgeridoo-מוקש-רישיקש-דיגרידו-33/feed/
/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/nukesh-dhiman-jungel-vibes-rishikesh-india-didgeridoo-מוקש-רישיקש-דיגרידו-32/feed/,noindex,no,404,,,,,needs-410,https://www.eyalamit.co.il/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/nukesh-dhiman-jungel-vibes-rishikesh-india-didgeridoo-מוקש-רישיקש-דיגרידו-32/feed/
/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/whatsapp-image-2021-10-16-at-12-18-46/feed/,noindex,no,404,,,,,needs-410,https://www.eyalamit.co.il/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/whatsapp-image-2021-10-16-at-12-18-46/feed/
/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/nukesh-dhiman-jungel-vibes-rishikesh-india-didgeridoo-מוקש-רישיקש-דיגרידו-83/feed/,noindex,no,404,,,,,needs-410,https://www.eyalamit.co.il/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/nukesh-dhiman-jungel-vibes-rishikesh-india-didgeridoo-מוקש-רישיקש-דיגרידו-83/feed/
/Blog/tag/בייס-גאמפ/feed/,noindex,regex:/Blog/,301,http://eyalamit-co-il-2026.s887.upress.link/blog/tag/%D7%91%D7%99%D7%99%D7%A1-%D7%92%D7%90%D7%9E%D7%A4/feed/,404,1,/blog/tag/בייס-גאמפ/feed/,needs-content-check,https://www.eyalamit.co.il/Blog/tag/בייס-גאמפ/feed/
/Blog/דיגרידו-פרדס-חנה-סטודיו-לבנייה-ונגינ/1017337_294771040668412_836055525_n/feed/,noindex,regex:/Blog/,301,http://eyalamit-co-il-2026.s887.upress.link/blog/%D7%93%D7%99%D7%92%D7%A8%D7%99%D7%93%D7%95-%D7%A4%D7%A8%D7%93%D7%A1-%D7%97%D7%A0%D7%94-%D7%A1%D7%98%D7%95%D7%93%D7%99%D7%95-%D7%9C%D7%91%D7%A0%D7%99%D7%99%D7%94-%D7%95%D7%A0%D7%92%D7%99%D7%A0/1017337_294771040668412_836055525_n/feed/,404,1,/blog/דיגרידו-פרדס-חנה-סטודיו-לבנייה-ונגינ/1017337_294771040668412_836055525_n/feed/,needs-content-check,https://www.eyalamit.co.il/Blog/דיגרידו-פרדס-חנה-סטודיו-לבנייה-ונגינ/1017337_294771040668412_836055525_n/feed/
/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/nukesh-dhiman-jungel-vibes-rishikesh-india-didgeridoo-מוקש-רישיקש-דיגרידו-43/feed/,noindex,no,404,,,,,needs-410,https://www.eyalamit.co.il/דיגרידו-המרכז-לטיפול-בדיגרידו-סטודי/תיקים-לדיגרידו/nukesh-dhiman-jungel-vibes-rishikesh-india-didgeridoo-מוקש-רישיקש-דיגרידו-43/feed/
/qr/qr10/feed/,noindex,no,200,,,,,false-positive,https://www.eyalamit.co.il/qr/qr10/feed/
